row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,
19910372063159,19910372063,100% 19곡 우리곡물,대주식품,곡류가공품,찰흑미. 흑미. 현미. 찹쌀. 수수. 검정콩. 보리. 옥수수. 차조. 기장쌀. 멥쌀. 완두. 백태. 메밀. 녹두. 약콩. 팥. 강낭콩. 통밀,
20110304002836,20110304002,100% Nat. Cedarwood Oil,화인향료주식회사,천연향료,천연향료(Cedar. white(Aborvitae). leaves및 twigs),
20110304002730,20110304002,100% Nat. Clove Leaf Oil,화인향료주식회사,천연향료,천연향료(기타천연향료),
201103040021111,20110304002,100% Nat. Clove leaf Oil FAC-42600,화인향료주식회사,향료,향료,
20110304002844,20110304002,100% Nat. Eucalyptus Essential Oil,화인향료주식회사,천연향료,천연향료(Eucalyptus globulus leaves),
20110304002835,20110304002,100% Nat. Eucalyptus Oil,화인향료주식회사,천연향료,천연향료(Eucalyptus globulus leaves),
201103040021112,20110304002,100% Nat. Eucalyptus Oil FAC-42601,화인향료주식회사,향료,천연향료(Eucalyptus globulus leaves),
20110304002848,20110304002,100% Nat. Lemon Essential Oil,화인향료주식회사,천연향료,레몬오일,
20110304002834,20110304002,100% Nat. Lime oil,화인향료주식회사,천연향료,천연향료(Lime),
20110304002822,20110304002,100% Nat. Orange Oil,화인향료주식회사,천연향료,천연향료(Orange. sweet. peel),
20110304002833,20110304002,100% Nat. Orange Oil(Red),화인향료주식회사,천연향료,천연향료(Orange. sweet. peel),
20110304002857,20110304002,100% Nat. Peppermint Essential Oil,화인향료주식회사,천연향료,박하유,
20110304002847,20110304002,100% Nat. Rosemary Essential Oil,화인향료주식회사,천연향료,로즈마리오일,
20110304002868,20110304002,100% Nat. Tea Tree Essential Oil,화인향료주식회사,천연향료,차추출물,
20110304002824,20110304002,100% Nat. Thyme Oil FAC-35877,화인향료주식회사,천연향료,천연향료(Thyme),
201105551156,20110555115,100% 가득 개똥쑥,농업회사법인(주)두손애약초,기타가공품,개똥쑥,
201105551154,20110555115,100% 가득 산수유,농업회사법인(주)두손애약초,기타가공품,산수유,
201105551153,20110555115,100% 가득 인진쑥,농업회사법인(주)두손애약초,기타가공품,사철쑥,
2018062221522,20180622215,100% 감귤즙,(재)제주테크노파크용암해수센터,과.채주스,감귤,
20180496058132,20180496058,100% 과일퓨레 사과&복숭아,남원원예농업협동조합 푸드종합가공센터,과.채가공품,복사나무열매. 사과,
2014036314850,20140363148,100% 국내산 들기름,(주)내츄럴푸드,들기름,들깨,
